rank,combo_id,features,f1,f2,f3,f4,lopo_mean_mcc,paired_delta_vs_full10,retention_ratio_vs_full10,is_core_4
182,140,"rare_freq,homoplasy,esm2_llr,plddt",rare_freq,homoplasy,esm2_llr,plddt,0.027259136987161207,-0.042495192016673546,0.3907877457420977,False
183,122,"entropy,esm2_llr,plddt,dnds_proxy",entropy,esm2_llr,plddt,dnds_proxy,0.02669815967954453,-0.04305616932429022,0.3827455594630807,False
184,121,"entropy,esm2_llr,plddt,grantham",entropy,esm2_llr,plddt,grantham,0.02642558971728187,-0.04332873928655288,0.37883798890573683,False
185,65,"freq,esm2_llr,plddt,grantham",freq,esm2_llr,plddt,grantham,0.02620060884610798,-0.043553720157726766,0.37561265688137574,False
186,205,"plddt,sasa,grantham,dnds_proxy",plddt,sasa,grantham,dnds_proxy,0.025304273378288857,-0.04445005562554589,0.3627627666936306,False
187,91,"entropy,rare_freq,esm2_llr,sasa",entropy,rare_freq,esm2_llr,sasa,0.024325104056924115,-0.04542922494691063,0.3487253680784004,False
188,120,"entropy,esm2_llr,plddt,sasa",entropy,esm2_llr,plddt,sasa,0.02426544333482306,-0.04548888566901169,0.34787007030759426,False
189,130,"entropy,plddt,sasa,grantham",entropy,plddt,sasa,grantham,0.02349948016123418,-0.04625484884260058,0.3368892009547148,False
190,35,"freq,rare_freq,esm2_llr,sasa",freq,rare_freq,esm2_llr,sasa,0.023110305055821626,-0.04664402394801312,0.3313099758231655,False
191,160,"rare_freq,esm2_llr,sasa,dnds_proxy",rare_freq,esm2_llr,sasa,dnds_proxy,0.02298000976995855,-0.046774319233876205,0.32944205898239265,False
192,66,"freq,esm2_llr,plddt,dnds_proxy",freq,esm2_llr,plddt,dnds_proxy,0.022882008755449896,-0.046872320248384856,0.32803711371364425,False
193,196,"esm2_llr,plddt,sasa,dnds_proxy",esm2_llr,plddt,sasa,dnds_proxy,0.020726400757864274,-0.049027928245970485,0.29713425752722583,False
194,198,"esm2_llr,plddt,grantham,dnds_proxy",esm2_llr,plddt,grantham,dnds_proxy,0.01871081077695366,-0.051043518226881086,0.2682387035208242,False
195,167,"rare_freq,plddt,sasa,semantic_change",rare_freq,plddt,sasa,semantic_change,0.01744745639368198,-0.05230687261015277,0.2501272199568116,False
196,169,"rare_freq,plddt,grantham,semantic_change",rare_freq,plddt,grantham,semantic_change,0.01404934258778046,-0.05570498641605429,0.201411765956606,False
197,64,"freq,esm2_llr,plddt,sasa",freq,esm2_llr,plddt,sasa,0.011607628745535975,-0.05814670025829879,0.16640728842646946,False
198,158,"rare_freq,esm2_llr,plddt,semantic_change",rare_freq,esm2_llr,plddt,semantic_change,0.0034989113132921426,-0.06625541769054262,0.05016048986866162,False
199,197,"esm2_llr,plddt,sasa,semantic_change",esm2_llr,plddt,sasa,semantic_change,0.0006348663654741187,-0.06911946263836063,0.00910146186682144,False
200,163,"rare_freq,esm2_llr,grantham,semantic_change",rare_freq,esm2_llr,grantham,semantic_change,-0.0009439268888785084,-0.07069825589271327,-0.013532162123251389,False
201,199,"esm2_llr,plddt,grantham,semantic_change",esm2_llr,plddt,grantham,semantic_change,-0.0017132217522737919,-0.07146755075610854,-0.024560794673827446,False
202,161,"rare_freq,esm2_llr,sasa,semantic_change",rare_freq,esm2_llr,sasa,semantic_change,-0.002379825049291399,-0.07213415405312616,-0.034117238073647985,False
203,165,"rare_freq,plddt,sasa,grantham",rare_freq,plddt,sasa,grantham,-0.007240545669471361,-0.07699487467330612,-0.10380066402865565,False
204,172,"rare_freq,sasa,grantham,semantic_change",rare_freq,sasa,grantham,semantic_change,-0.007597618316049811,-0.07735194731988455,-0.10891966741780472,False
205,206,"plddt,sasa,grantham,semantic_change",plddt,sasa,grantham,semantic_change,-0.007880114708873426,-0.07763444371270818,-0.11296954355965799,False
206,156,"rare_freq,esm2_llr,plddt,grantham",rare_freq,esm2_llr,plddt,grantham,-0.009204063226825087,-0.07895839223065983,-0.13194970632316014,False
207,159,"rare_freq,esm2_llr,sasa,grantham",rare_freq,esm2_llr,sasa,grantham,-0.011108332045672563,-0.08086266104950732,-0.15924935705512816,False
208,155,"rare_freq,esm2_llr,plddt,sasa",rare_freq,esm2_llr,plddt,sasa,-0.013605028283061635,-0.0833593572868964,-0.1950420637307499,False
209,202,"esm2_llr,sasa,grantham,semantic_change",esm2_llr,sasa,grantham,semantic_change,-0.020588305879169252,-0.09034263488300402,-0.2951545255067597,False
210,195,"esm2_llr,plddt,sasa,grantham",esm2_llr,plddt,sasa,grantham,-0.0276550002208584,-0.09740932922469314,-0.3964628520666877,False
