target,uniprot_acc,feature_type,start,end,description
western_equine_encephalitis_virus_e2,P13897,Region,717,737,Transient transmembrane before p62-6K protein processing
western_equine_encephalitis_virus_e2,P13897,Region,881,898,E1 fusion peptide loop
western_equine_encephalitis_virus_e2,P13897,Site,184,184,Involved in dimerization of the capsid protein
western_equine_encephalitis_virus_e2,P13897,Site,217,217,Involved in dimerization of the capsid protein
western_equine_encephalitis_virus_e2,P13897,Site,259,260,Cleavage; by autolysis
western_equine_encephalitis_virus_e2,P13897,Site,319,320,Cleavage; by host furin
western_equine_encephalitis_virus_e2,P13897,Site,742,743,Cleavage; by host signal peptidase
western_equine_encephalitis_virus_e2,P13897,Site,797,798,Cleavage; by host signal peptidase
western_equine_encephalitis_virus_e2,P13897,Glycosylation,270,270,N-linked (GlcNAc...) asparagine; by host
western_equine_encephalitis_virus_e2,P13897,Glycosylation,515,515,N-linked (GlcNAc...) asparagine; by host
western_equine_encephalitis_virus_e2,P13897,Glycosylation,637,637,N-linked (GlcNAc...) asparagine; by host
western_equine_encephalitis_virus_e2,P13897,Glycosylation,936,936,N-linked (GlcNAc...) asparagine; by host
western_equine_encephalitis_virus_e2,P13897,Glycosylation,1042,1042,N-linked (GlcNAc...) asparagine; by host
western_equine_encephalitis_virus_e2,P13897,Glycosylation,1067,1067,N-linked (GlcNAc...) asparagine; by host
western_equine_encephalitis_virus_e2,P13897,Disulfide bond,266,275,
western_equine_encephalitis_virus_e2,P13897,Disulfide bond,335,443,
western_equine_encephalitis_virus_e2,P13897,Disulfide bond,338,344,
western_equine_encephalitis_virus_e2,P13897,Disulfide bond,410,424,
western_equine_encephalitis_virus_e2,P13897,Disulfide bond,471,585,
western_equine_encephalitis_virus_e2,P13897,Disulfide bond,520,545,
western_equine_encephalitis_virus_e2,P13897,Disulfide bond,522,539,
western_equine_encephalitis_virus_e2,P13897,Disulfide bond,715,736,
western_equine_encephalitis_virus_e2,P13897,Disulfide bond,846,911,
western_equine_encephalitis_virus_e2,P13897,Disulfide bond,859,891,
western_equine_encephalitis_virus_e2,P13897,Disulfide bond,860,893,
western_equine_encephalitis_virus_e2,P13897,Disulfide bond,865,875,
western_equine_encephalitis_virus_e2,P13897,Disulfide bond,1056,1068,
western_equine_encephalitis_virus_e2,P13897,Disulfide bond,1098,1173,
western_equine_encephalitis_virus_e2,P13897,Disulfide bond,1103,1177,
western_equine_encephalitis_virus_e2,P13897,Disulfide bond,1125,1167,
wnv_e,P06935,Chain,1,3430,Genome polyprotein
wnv_e,P06935,Chain,1,105,Capsid protein C
wnv_e,P06935,Propeptide,106,123,"ER anchor for the capsid protein C, removed in mature form by serine protease NS3"
wnv_e,P06935,Chain,124,290,Protein prM
wnv_e,P06935,Chain,124,215,Peptide pr
wnv_e,P06935,Chain,216,290,Small envelope protein M
wnv_e,P06935,Chain,291,787,Envelope protein E
wnv_e,P06935,Chain,788,1139,Non-structural protein 1
wnv_e,P06935,Chain,1140,1370,Non-structural protein 2A
wnv_e,P06935,Chain,1371,1501,Serine protease subunit NS2B
wnv_e,P06935,Chain,1502,2120,Serine protease/Helicase NS3
wnv_e,P06935,Chain,2121,2246,Non-structural protein 4A
wnv_e,P06935,Chain,2270,2525,Non-structural protein 4B
wnv_e,P06935,Chain,2526,3430,RNA-directed RNA polymerase/Methyltransferase NS5
wnv_e,P06935,Topological domain,2,105,Cytoplasmic
wnv_e,P06935,Transmembrane,106,126,Helical
wnv_e,P06935,Topological domain,127,248,Extracellular
wnv_e,P06935,Transmembrane,249,269,Helical
wnv_e,P06935,Topological domain,270,275,Cytoplasmic
wnv_e,P06935,Transmembrane,276,290,Helical
wnv_e,P06935,Topological domain,291,739,Extracellular
wnv_e,P06935,Transmembrane,740,760,Helical
wnv_e,P06935,Topological domain,761,766,Cytoplasmic
wnv_e,P06935,Transmembrane,767,787,Helical
wnv_e,P06935,Topological domain,788,1212,Extracellular
wnv_e,P06935,Transmembrane,1213,1233,Helical
wnv_e,P06935,Topological domain,1234,1243,Cytoplasmic
wnv_e,P06935,Transmembrane,1244,1264,Helical
wnv_e,P06935,Topological domain,1265,1278,Lumenal
wnv_e,P06935,Transmembrane,1279,1299,Helical
wnv_e,P06935,Topological domain,1300,1307,Cytoplasmic
wnv_e,P06935,Transmembrane,1308,1328,Helical
wnv_e,P06935,Topological domain,1329,1340,Lumenal
wnv_e,P06935,Transmembrane,1341,1361,Helical
wnv_e,P06935,Topological domain,1362,1371,Cytoplasmic
wnv_e,P06935,Transmembrane,1372,1392,Helical
wnv_e,P06935,Topological domain,1393,1395,Lumenal
wnv_e,P06935,Transmembrane,1396,1416,Helical
wnv_e,P06935,Topological domain,1417,1473,Cytoplasmic
wnv_e,P06935,Topological domain,1495,2170,Cytoplasmic
wnv_e,P06935,Transmembrane,2171,2191,Helical
wnv_e,P06935,Topological domain,2192,2196,Lumenal
wnv_e,P06935,Topological domain,2218,2218,Lumenal
wnv_e,P06935,Transmembrane,2219,2239,Helical
wnv_e,P06935,Topological domain,2240,2254,Cytoplasmic
wnv_e,P06935,Transmembrane,2255,2275,Helical; Note=Signal for NS4B
wnv_e,P06935,Topological domain,2276,2309,Lumenal
wnv_e,P06935,Topological domain,2331,2377,Lumenal
wnv_e,P06935,Transmembrane,2378,2398,Helical
wnv_e,P06935,Topological domain,2399,2441,Cytoplasmic
wnv_e,P06935,Transmembrane,2442,2462,Helical
wnv_e,P06935,Topological domain,2463,2467,Lumenal
wnv_e,P06935,Transmembrane,2468,2488,Helical
wnv_e,P06935,Topological domain,2489,3430,Cytoplasmic
wnv_e,P06935,Region,2,15,Interaction with host EXOC1
wnv_e,P06935,Region,37,72,Hydrophobic; homodimerization of capsid protein C
wnv_e,P06935,Region,388,401,Fusion peptide loop
wnv_e,P06935,Region,1424,1463,Interacts with and activates NS3 protease
wnv_e,P06935,Region,1686,1689,Important for RNA-binding
wnv_e,P06935,Region,2165,2169,Regulates the ATPase activity of NS3 helicase
wnv_e,P06935,Region,2743,2747,Interaction with host SCRIB
wnv_e,P06935,Binding site,1695,1702,
wnv_e,P06935,Binding site,2581,2581,
wnv_e,P06935,Binding site,2611,2611,
wnv_e,P06935,Binding site,2612,2612,
wnv_e,P06935,Binding site,2629,2629,
wnv_e,P06935,Binding site,2630,2630,
wnv_e,P06935,Binding site,2656,2656,
wnv_e,P06935,Binding site,2657,2657,
wnv_e,P06935,Binding site,2672,2672,
wnv_e,P06935,Binding site,2745,2745,
wnv_e,P06935,Binding site,2965,2965,
wnv_e,P06935,Binding site,2969,2969,
wnv_e,P06935,Binding site,2974,2974,
wnv_e,P06935,Binding site,2977,2977,
wnv_e,P06935,Binding site,3242,3242,
wnv_e,P06935,Binding site,3258,3258,
wnv_e,P06935,Binding site,3377,3377,
wnv_e,P06935,Site,81,81,Homodimerization of capsid protein
wnv_e,P06935,Site,105,106,Cleavage; by viral protease NS3
wnv_e,P06935,Site,123,124,Cleavage; by host signal peptidase
wnv_e,P06935,Site,215,216,Cleavage; by host furin
wnv_e,P06935,Site,290,291,Cleavage; by host signal peptidase
wnv_e,P06935,Site,787,788,Cleavage; by host signal peptidase
wnv_e,P06935,Site,1139,1140,Cleavage; by host
wnv_e,P06935,Site,1370,1371,Cleavage; by viral protease NS3
wnv_e,P06935,Site,1501,1502,Cleavage; by autolysis
wnv_e,P06935,Site,1959,1959,Involved in NS3 ATPase and RTPase activities
wnv_e,P06935,Site,1962,1962,Involved in NS3 ATPase and RTPase activities
wnv_e,P06935,Site,2120,2121,Cleavage; by autolysis
wnv_e,P06935,Site,2246,2247,Cleavage; by viral protease NS3
wnv_e,P06935,Site,2269,2270,Cleavage; by host signal peptidase
wnv_e,P06935,Site,2525,2526,Cleavage; by viral protease NS3
wnv_e,P06935,Site,2538,2538,mRNA cap binding
wnv_e,P06935,Site,2541,2541,mRNA cap binding; via carbonyl oxygen
wnv_e,P06935,Site,2542,2542,mRNA cap binding
wnv_e,P06935,Site,2544,2544,mRNA cap binding; via carbonyl oxygen
wnv_e,P06935,Site,2549,2549,mRNA cap binding
wnv_e,P06935,Site,2553,2553,mRNA cap binding
wnv_e,P06935,Site,2586,2586,Essential for 2'-O-methyltransferase activity
wnv_e,P06935,Site,2671,2671,Essential for 2'-O-methyltransferase and N-7 methyltransferase activity
wnv_e,P06935,Site,2675,2675,mRNA cap binding
wnv_e,P06935,Site,2707,2707,Essential for 2'-O-methyltransferase activity
wnv_e,P06935,Site,2738,2738,mRNA cap binding
wnv_e,P06935,Site,2740,2740,mRNA cap binding
wnv_e,P06935,Site,2743,2743,Essential for 2'-O-methyltransferase activity
wnv_e,P06935,Glycosylation,138,138,N-linked (GlcNAc...) asparagine; by host
wnv_e,P06935,Glycosylation,917,917,N-linked (GlcNAc...) asparagine; by host
wnv_e,P06935,Glycosylation,962,962,N-linked (GlcNAc...) asparagine; by host
wnv_e,P06935,Glycosylation,994,994,N-linked (GlcNAc...) asparagine; by host
wnv_e,P06935,Disulfide bond,157,192,
wnv_e,P06935,Disulfide bond,168,204,
wnv_e,P06935,Disulfide bond,176,190,
wnv_e,P06935,Disulfide bond,293,320,
wnv_e,P06935,Disulfide bond,350,411,
wnv_e,P06935,Disulfide bond,364,395,
wnv_e,P06935,Disulfide bond,382,406,
wnv_e,P06935,Disulfide bond,476,574,
wnv_e,P06935,Disulfide bond,591,622,
wnv_e,P06935,Disulfide bond,791,802,
wnv_e,P06935,Disulfide bond,842,930,
wnv_e,P06935,Disulfide bond,966,1010,
wnv_e,P06935,Disulfide bond,1067,1116,
wnv_e,P06935,Disulfide bond,1078,1099,
wnv_e,P06935,Disulfide bond,1100,1103,
yfv_e,Q15KJ2,Transmembrane,445,466,Helical
yfv_e,Q15KJ2,Transmembrane,473,491,Helical
