pathogen,scoring,detector,mcc,precision,recall,f1,n_detected
HCV,entropy,FreqThresh(p=80),0.285659,0.367647,0.462963,0.409836,68
HCV,rare_freq,Wavelet(t=1.0),0.142001,0.253165,0.37037,0.300752,79
HCV,rare_freq,AdaptiveKnee,-0.070696,0.117021,0.203704,0.148649,94
HCV,rare_freq,FreqThresh(p=80),-0.070696,0.117021,0.203704,0.148649,94
HCV,H-score,Wavelet(t=1.0),0.525375,0.692308,0.5,0.580645,39
HCV,H-score,AdaptiveKnee,0.224066,0.263566,0.62963,0.371585,129
HCV,H-score,FreqThresh(p=80),0.285659,0.367647,0.462963,0.409836,68
HCV,homoplasy,Wavelet(t=1.0),-0.016093,0.147059,0.185185,0.163934,68
HCV,homoplasy,AdaptiveKnee,-0.047664,0.113636,0.092593,0.102041,44
HCV,homoplasy,FreqThresh(p=80),-0.099213,0.086957,0.111111,0.097561,69
HCV,esm2_llr,Wavelet(t=1.0),-0.007196,0.152174,0.12963,0.14,46
HCV,esm2_llr,AdaptiveKnee,-0.025502,0.125,0.055556,0.076923,24
HCV,esm2_llr,FreqThresh(p=80),-0.076444,0.102941,0.12963,0.114754,68
HCV,plddt_inv,Wavelet(t=1.0),0.069498,0.22,0.203704,0.211538,50
HCV,plddt_inv,AdaptiveKnee,0.058765,0.166667,0.925926,0.282486,300
HCV,plddt_inv,FreqThresh(p=80),0.005579,0.1625,0.240741,0.19403,80
HCV,sasa,Wavelet(t=1.0),-0.165337,0.0,0.0,0.0,43
HCV,sasa,AdaptiveKnee,0.000907,0.16,0.074074,0.101266,25
HCV,sasa,FreqThresh(p=80),0.02414,0.176471,0.222222,0.196721,68
HCV,grantham,Wavelet(t=1.0),-0.221249,0.0,0.0,0.0,70
HCV,grantham,AdaptiveKnee,-0.109626,0.082192,0.111111,0.094488,73
HCV,grantham,FreqThresh(p=80),-0.116678,0.073529,0.092593,0.081967,68
HCV,dnds_proxy,Wavelet(t=1.0),0.525375,0.692308,0.5,0.580645,39
HCV,dnds_proxy,AdaptiveKnee,0.285889,0.345679,0.518519,0.414815,81
HCV,dnds_proxy,FreqThresh(p=80),0.305776,0.382353,0.481481,0.42623,68
HCV,semantic_change,Wavelet(t=1.0),0.007954,0.164384,0.222222,0.188976,73
HCV,semantic_change,AdaptiveKnee,-0.071629,0.071429,0.037037,0.04878,28
HCV,semantic_change,FreqThresh(p=80),-0.136795,0.058824,0.074074,0.065574,68
HCV,EVEscape_composite,Wavelet(t=1.0),-0.180038,0.016667,0.018519,0.017544,60
HCV,EVEscape_composite,AdaptiveKnee,-0.037519,0.125,0.111111,0.117647,48
HCV,EVEscape_composite,FreqThresh(p=80),-0.056327,0.117647,0.148148,0.131148,68
HCV,EqualWeight,Wavelet(t=1.0),0.227772,0.319444,0.425926,0.365079,72
HCV,EqualWeight,AdaptiveKnee,0.235812,0.350877,0.37037,0.36036,57
HCV,EqualWeight,FreqThresh(p=80),0.205192,0.308824,0.388889,0.344262,68
Zika,freq,Wavelet(t=1.0),-0.130887,0.0,0.0,0.0,96
Zika,freq,AdaptiveKnee,0.013629,0.060465,0.962963,0.113786,430
Zika,freq,FreqThresh(p=80),0.013629,0.060465,0.962963,0.113786,430
Zika,entropy,Wavelet(t=1.0),-0.129155,0.0,0.0,0.0,94
Zika,entropy,AdaptiveKnee,0.013629,0.060465,0.962963,0.113786,430
Zika,entropy,FreqThresh(p=80),0.013629,0.060465,0.962963,0.113786,430
Zika,H-score,Wavelet(t=1.0),-0.132617,0.0,0.0,0.0,98
Zika,H-score,AdaptiveKnee,0.013629,0.060465,0.962963,0.113786,430
Zika,H-score,FreqThresh(p=80),0.013629,0.060465,0.962963,0.113786,430
Zika,homoplasy,Wavelet(t=1.0),-0.126548,0.0,0.0,0.0,91
Zika,homoplasy,AdaptiveKnee,0.041208,0.062651,0.962963,0.117647,415
Zika,homoplasy,FreqThresh(p=80),0.067967,0.08,0.518519,0.138614,175
Zika,esm2_llr,Wavelet(t=1.0),-0.091416,0.012658,0.037037,0.018868,79
Zika,esm2_llr,AdaptiveKnee,0.031487,0.075949,0.222222,0.113208,79
Zika,esm2_llr,FreqThresh(p=80),0.013134,0.065934,0.222222,0.101695,91
Zika,plddt_inv,Wavelet(t=1.0),-0.106982,0.0,0.0,0.0,69
Zika,plddt_inv,AdaptiveKnee,0.083755,0.074074,0.814815,0.135802,297
Zika,plddt_inv,FreqThresh(p=80),0.010269,0.064516,0.222222,0.1,93
Zika,sasa,Wavelet(t=1.0),-0.109714,0.0,0.0,0.0,72
Zika,sasa,AdaptiveKnee,-0.000744,0.059406,0.222222,0.09375,101
Zika,sasa,FreqThresh(p=80),-0.045984,0.036585,0.111111,0.055046,82
Zika,grantham,Wavelet(t=1.0),-0.072423,0.02381,0.074074,0.036036,84
Zika,grantham,AdaptiveKnee,0.007452,0.063158,0.222222,0.098361,95
Zika,grantham,FreqThresh(p=80),0.007452,0.063158,0.222222,0.098361,95
Zika,dnds_proxy,Wavelet(t=1.0),-0.12393,0.0,0.0,0.0,88
Zika,dnds_proxy,AdaptiveKnee,-0.056232,0.047809,0.444444,0.086331,251
Zika,dnds_proxy,FreqThresh(p=80),-0.040799,0.041237,0.148148,0.064516,97
Zika,semantic_change,Wavelet(t=1.0),-0.136928,0.0,0.0,0.0,103
Zika,semantic_change,AdaptiveKnee,0.001032,0.060606,0.074074,0.066667,33
Zika,semantic_change,FreqThresh(p=80),-0.074612,0.023256,0.074074,0.035398,86
Zika,EVEscape_composite,Wavelet(t=1.0),-0.079954,0.014706,0.037037,0.021053,68
Zika,EVEscape_composite,AdaptiveKnee,-0.047103,0.02439,0.037037,0.029412,41
Zika,EVEscape_composite,FreqThresh(p=80),0.008417,0.064103,0.185185,0.095238,78
Zika,EqualWeight,Wavelet(t=1.0),-0.11954,0.0,0.0,0.0,83
Zika,EqualWeight,AdaptiveKnee,0.071885,0.064593,1.0,0.121348,418
Zika,EqualWeight,FreqThresh(p=80),-0.010146,0.054945,0.185185,0.084746,91
Rabies,freq,Wavelet(t=1.0),-0.094441,0.0,0.0,0.0,46
Rabies,freq,AdaptiveKnee,-0.094718,0.029412,0.076923,0.042553,102
Rabies,freq,FreqThresh(p=80),-0.073444,0.035714,0.076923,0.04878,84
Rabies,entropy,Wavelet(t=1.0),-0.09557,0.0,0.0,0.0,47
Rabies,entropy,AdaptiveKnee,-0.087883,0.035714,0.102564,0.05298,112
Rabies,entropy,FreqThresh(p=80),-0.073444,0.035714,0.076923,0.04878,84
Rabies,rare_freq,Wavelet(t=1.0),-0.113721,0.0,0.0,0.0,64
Rabies,rare_freq,AdaptiveKnee,-0.041562,0.062069,0.230769,0.097826,145
Rabies,rare_freq,FreqThresh(p=80),-0.049389,0.049383,0.102564,0.066667,81
Rabies,H-score,Wavelet(t=1.0),-0.098907,0.0,0.0,0.0,50
Rabies,H-score,AdaptiveKnee,-0.08291,0.04065,0.128205,0.061728,123
Rabies,H-score,FreqThresh(p=80),-0.073444,0.035714,0.076923,0.04878,84
Rabies,homoplasy,Wavelet(t=1.0),-0.113721,0.0,0.0,0.0,64
Rabies,homoplasy,AdaptiveKnee,-0.128936,0.017094,0.051282,0.025641,117
Rabies,homoplasy,FreqThresh(p=80),-0.108995,0.020408,0.051282,0.029197,98
Rabies,esm2_llr,Wavelet(t=1.0),-0.068411,0.0375,0.076923,0.05042,80
Rabies,esm2_llr,AdaptiveKnee,0.013319,0.090909,0.102564,0.096386,44
Rabies,esm2_llr,FreqThresh(p=80),-0.053756,0.050505,0.128205,0.072464,99
Rabies,plddt_inv,Wavelet(t=1.0),0.183112,0.209677,0.333333,0.257426,62
Rabies,plddt_inv,AdaptiveKnee,-0.126021,0.058659,0.538462,0.105793,358
Rabies,plddt_inv,FreqThresh(p=80),-0.037684,0.059406,0.153846,0.085714,101
Rabies,sasa,Wavelet(t=1.0),0.026108,0.09375,0.230769,0.133333,96
Rabies,sasa,AdaptiveKnee,-0.061294,0.044444,0.102564,0.062016,90
Rabies,sasa,FreqThresh(p=80),-0.067606,0.042105,0.102564,0.059701,95
Rabies,grantham,Wavelet(t=1.0),-0.099357,0.014085,0.025641,0.018182,71
Rabies,grantham,AdaptiveKnee,0.055859,0.113924,0.230769,0.152542,79
Rabies,grantham,FreqThresh(p=80),0.039475,0.102273,0.230769,0.141732,88
Rabies,dnds_proxy,Wavelet(t=1.0),-0.09557,0.0,0.0,0.0,47
Rabies,dnds_proxy,AdaptiveKnee,-0.086731,0.036036,0.102564,0.053333,111
Rabies,dnds_proxy,FreqThresh(p=80),-0.073444,0.035714,0.076923,0.04878,84
Rabies,semantic_change,Wavelet(t=1.0),-0.124723,0.0,0.0,0.0,75
Rabies,semantic_change,AdaptiveKnee,-0.070292,0.030769,0.051282,0.038462,65
Rabies,semantic_change,FreqThresh(p=80),-0.073444,0.035714,0.076923,0.04878,84
Rabies,EVEscape_composite,Wavelet(t=1.0),-0.036281,0.05814,0.128205,0.08,86
Rabies,EVEscape_composite,AdaptiveKnee,0.006439,0.085714,0.076923,0.081081,35
Rabies,EVEscape_composite,FreqThresh(p=80),-0.008803,0.074074,0.153846,0.1,81
Rabies,EqualWeight,Wavelet(t=1.0),-0.08285,0.026667,0.051282,0.035088,75
Rabies,EqualWeight,AdaptiveKnee,-0.073444,0.035714,0.076923,0.04878,84
Rabies,EqualWeight,FreqThresh(p=80),-0.053756,0.050505,0.128205,0.072464,99
EV-A71,freq,Wavelet(t=1.0),-0.042919,0.073171,0.111111,0.088235,41
EV-A71,freq,AdaptiveKnee,-0.003262,0.1,0.074074,0.085106,20
EV-A71,freq,FreqThresh(p=80),-0.01854,0.090909,0.148148,0.112676,44
EV-A71,entropy,Wavelet(t=1.0),-0.083033,0.046512,0.074074,0.057143,43
EV-A71,entropy,AdaptiveKnee,-0.032764,0.074074,0.074074,0.074074,27
EV-A71,entropy,FreqThresh(p=80),-0.015664,0.090909,0.111111,0.1,33
EV-A71,rare_freq,Wavelet(t=1.0),-0.133676,0.0,0.0,0.0,35
EV-A71,rare_freq,AdaptiveKnee,0.062879,0.136364,0.333333,0.193548,66
EV-A71,rare_freq,FreqThresh(p=80),0.048668,0.136364,0.222222,0.169014,44
EV-A71,H-score,Wavelet(t=1.0),0.029995,0.122449,0.222222,0.157895,49
EV-A71,H-score,AdaptiveKnee,-0.046933,0.064516,0.074074,0.068966,31
EV-A71,H-score,FreqThresh(p=80),-0.015664,0.090909,0.111111,0.1,33
EV-A71,homoplasy,Wavelet(t=1.0),-0.076638,0.0625,0.148148,0.087912,64
EV-A71,homoplasy,AdaptiveKnee,0.097902,0.181818,0.222222,0.2,33
EV-A71,homoplasy,FreqThresh(p=80),0.071267,0.135802,0.407407,0.203704,81
EV-A71,esm2_llr,Wavelet(t=1.0),-0.126979,0.0,0.0,0.0,32
EV-A71,esm2_llr,AdaptiveKnee,-0.046755,0.052632,0.037037,0.043478,19
EV-A71,esm2_llr,FreqThresh(p=80),0.172545,0.207547,0.407407,0.275,53
EV-A71,plddt_inv,Wavelet(t=1.0),-0.144513,0.0,0.0,0.0,40
EV-A71,plddt_inv,AdaptiveKnee,0.229672,0.16129,0.925926,0.274725,155
EV-A71,plddt_inv,FreqThresh(p=80),0.036987,0.125,0.259259,0.168675,56
EV-A71,sasa,Wavelet(t=1.0),-0.148757,0.0,0.0,0.0,42
EV-A71,sasa,AdaptiveKnee,0.078355,0.162162,0.222222,0.1875,37
EV-A71,sasa,FreqThresh(p=80),0.122363,0.18,0.333333,0.233766,50
EV-A71,grantham,Wavelet(t=1.0),-0.096303,0.041667,0.074074,0.053333,48
EV-A71,grantham,AdaptiveKnee,0.075065,0.140845,0.37037,0.204082,71
EV-A71,grantham,FreqThresh(p=80),0.130173,0.205882,0.259259,0.229508,34
EV-A71,dnds_proxy,Wavelet(t=1.0),-0.046044,0.071429,0.111111,0.086957,42
EV-A71,dnds_proxy,AdaptiveKnee,0.00167,0.105263,0.074074,0.086957,19
EV-A71,dnds_proxy,FreqThresh(p=80),-0.05352,0.060606,0.074074,0.066667,33
EV-A71,semantic_change,Wavelet(t=1.0),0.022976,0.117647,0.222222,0.153846,51
EV-A71,semantic_change,AdaptiveKnee,0.0,0.103448,1.0,0.1875,261
EV-A71,semantic_change,FreqThresh(p=80),0.060046,0.151515,0.185185,0.166667,33
EV-A71,EVEscape_composite,Wavelet(t=1.0),-0.124707,0.0,0.0,0.0,31
EV-A71,EVEscape_composite,AdaptiveKnee,0.044034,0.15,0.111111,0.12766,20
EV-A71,EVEscape_composite,FreqThresh(p=80),-0.008046,0.096774,0.111111,0.103448,31
EV-A71,EqualWeight,Wavelet(t=1.0),-0.150862,0.0,0.0,0.0,43
EV-A71,EqualWeight,AdaptiveKnee,-0.061215,0.043478,0.037037,0.04,23
EV-A71,EqualWeight,FreqThresh(p=80),0.078724,0.150943,0.296296,0.2,53
SARS-CoV-2,tranception,Wavelet(t=1.0),-0.001349,0.019355,0.12,0.033333,155
SARS-CoV-2,tranception,AdaptiveKnee,-0.01877,0.010638,0.04,0.016807,94
SARS-CoV-2,tranception,FreqThresh(p=80),-5.7e-05,0.019841,0.2,0.036101,252
H3N2,tranception,Wavelet(t=1.0),-0.092653,0.0,0.0,0.0,82
H3N2,tranception,AdaptiveKnee,-0.029767,0.037433,0.28,0.066038,187
H3N2,tranception,FreqThresh(p=80),-0.06622,0.018349,0.08,0.029851,109
Norovirus,tranception,Wavelet(t=1.0),-0.086222,0.0,0.0,0.0,110
Norovirus,tranception,AdaptiveKnee,0.08997,0.071429,0.266667,0.112676,56
Norovirus,tranception,FreqThresh(p=80),0.083972,0.055556,0.4,0.097561,108
HIV-1,tranception,Wavelet(t=1.0),-0.085704,0.0,0.0,0.0,54
HIV-1,tranception,AdaptiveKnee,-0.070484,0.0,0.0,0.0,38
HIV-1,tranception,FreqThresh(p=80),-0.040363,0.033333,0.130435,0.053097,90
Dengue,tranception,Wavelet(t=1.0),-0.078136,0.011905,0.041667,0.018519,84
Dengue,tranception,AdaptiveKnee,0.079689,0.1,0.208333,0.135135,50
Dengue,tranception,FreqThresh(p=80),0.075647,0.081633,0.333333,0.131148,98
RSV,tranception,Wavelet(t=1.0),0.097859,0.077778,0.35,0.127273,90
RSV,tranception,AdaptiveKnee,-0.041028,0.015385,0.05,0.023529,65
RSV,tranception,FreqThresh(p=80),-0.048564,0.018182,0.1,0.030769,110
Influenza_B,tranception,Wavelet(t=1.0),-0.06633,0.0,0.0,0.0,69
Influenza_B,tranception,AdaptiveKnee,-0.03578,0.0,0.0,0.0,22
Influenza_B,tranception,FreqThresh(p=80),-0.036429,0.017857,0.117647,0.031008,112
MERS,tranception,Wavelet(t=1.0),-0.031811,0.0,0.0,0.0,172
MERS,tranception,AdaptiveKnee,0.083296,0.03125,0.333333,0.057143,96
MERS,tranception,FreqThresh(p=80),0.027514,0.011278,0.333333,0.021818,266
HCV,tranception,Wavelet(t=1.0),0.014815,0.168831,0.240741,0.198473,77
HCV,tranception,AdaptiveKnee,0.011208,0.159875,0.944444,0.273458,319
HCV,tranception,FreqThresh(p=80),-0.076444,0.102941,0.12963,0.114754,68
Zika,tranception,Wavelet(t=1.0),-0.108063,0.010417,0.037037,0.01626,96
Zika,tranception,AdaptiveKnee,0.003221,0.0625,0.074074,0.067797,32
Zika,tranception,FreqThresh(p=80),-0.033427,0.043956,0.148148,0.067797,91
Rabies,tranception,Wavelet(t=1.0),-0.017385,0.071429,0.230769,0.109091,126
Rabies,tranception,AdaptiveKnee,-0.043642,0.048387,0.076923,0.059406,62
Rabies,tranception,FreqThresh(p=80),-0.03362,0.061224,0.153846,0.087591,98
EV-A71,tranception,Wavelet(t=1.0),-0.122413,0.0,0.0,0.0,30
EV-A71,tranception,AdaptiveKnee,0.00246,0.105263,0.148148,0.123077,38
EV-A71,tranception,FreqThresh(p=80),0.082545,0.153846,0.296296,0.202532,52
SARS-CoV-2,stability,Wavelet(t=1.0),0.075238,0.049296,0.28,0.083832,142
SARS-CoV-2,stability,AdaptiveKnee,-0.055503,0.0192,0.96,0.037647,1250
SARS-CoV-2,stability,FreqThresh(p=80),-0.009849,0.0,0.0,0.0,6
SARS-CoV-2,stability_structural,Wavelet(t=1.0),-0.007508,0.017241,0.12,0.030151,174
SARS-CoV-2,stability_structural,AdaptiveKnee,-0.055503,0.0192,0.96,0.037647,1250
SARS-CoV-2,stability_structural,FreqThresh(p=80),-0.009849,0.0,0.0,0.0,6
H3N2,stability,Wavelet(t=1.0),-0.034547,0.030612,0.12,0.04878,98
H3N2,stability,AdaptiveKnee,0.010689,0.047085,0.84,0.089172,446
H3N2,stability,FreqThresh(p=80),0.009042,0.050633,0.16,0.076923,79
H3N2,stability_structural,Wavelet(t=1.0),0.032646,0.0625,0.2,0.095238,80
H3N2,stability_structural,AdaptiveKnee,-0.052036,0.043222,0.88,0.082397,509
H3N2,stability_structural,FreqThresh(p=80),0.137408,0.116883,0.36,0.176471,77
Norovirus,stability,Wavelet(t=1.0),-0.077744,0.0,0.0,0.0,93
Norovirus,stability,AdaptiveKnee,0.015006,0.03252,0.266667,0.057971,123
Norovirus,stability,FreqThresh(p=80),-0.037531,0.0,0.0,0.0,25
Norovirus,stability_structural,Wavelet(t=1.0),-0.077238,0.0,0.0,0.0,92
Norovirus,stability_structural,AdaptiveKnee,-0.052604,0.0,0.0,0.0,47
Norovirus,stability_structural,FreqThresh(p=80),-0.037531,0.0,0.0,0.0,25
HIV-1,stability,Wavelet(t=1.0),0.022683,0.063492,0.173913,0.093023,63
HIV-1,stability,AdaptiveKnee,0.082055,0.0575,1.0,0.108747,400
HIV-1,stability,FreqThresh(p=80),0.085741,0.093333,0.304348,0.142857,75
HIV-1,stability_structural,Wavelet(t=1.0),-0.016086,0.042857,0.130435,0.064516,70
HIV-1,stability_structural,AdaptiveKnee,0.077362,0.05679,1.0,0.107477,405
HIV-1,stability_structural,FreqThresh(p=80),0.028521,0.064935,0.217391,0.1,77
Dengue,stability,Wavelet(t=1.0),0.034839,0.066667,0.208333,0.10101,75
Dengue,stability,AdaptiveKnee,0.018309,0.058824,0.166667,0.086957,68
Dengue,stability,FreqThresh(p=80),-0.009699,0.042553,0.083333,0.056338,47
Dengue,stability_structural,Wavelet(t=1.0),0.016866,0.057971,0.166667,0.086022,69
Dengue,stability_structural,AdaptiveKnee,0.037363,0.071429,0.166667,0.1,56
Dengue,stability_structural,FreqThresh(p=80),0.057551,0.096774,0.125,0.109091,31
RSV,stability,Wavelet(t=1.0),0.04239,0.057143,0.2,0.088889,70
RSV,stability,AdaptiveKnee,-0.024324,0.028571,0.2,0.05,140
RSV,stability,FreqThresh(p=80),-0.00818,0.030303,0.05,0.037736,33
RSV,stability_structural,Wavelet(t=1.0),-0.074789,0.0,0.0,0.0,71
RSV,stability_structural,AdaptiveKnee,-0.030521,0.018868,0.05,0.027397,53
RSV,stability_structural,FreqThresh(p=80),-0.003888,0.033333,0.05,0.04,30
Influenza_B,stability,Wavelet(t=1.0),-0.049088,0.011111,0.058824,0.018692,90
Influenza_B,stability,AdaptiveKnee,0.021652,0.031558,0.941176,0.061069,507
Influenza_B,stability,FreqThresh(p=80),-0.014405,0.02439,0.117647,0.040404,82
Influenza_B,stability_structural,Wavelet(t=1.0),-0.055322,0.01,0.058824,0.017094,100
Influenza_B,stability_structural,AdaptiveKnee,-0.024271,0.029126,0.882353,0.056391,515
Influenza_B,stability_structural,FreqThresh(p=80),-0.016032,0.02381,0.117647,0.039604,84
MERS,stability,Wavelet(t=1.0),-0.035842,0.0,0.0,0.0,211
MERS,stability,AdaptiveKnee,0.031598,0.007759,1.0,0.015398,1160
MERS,stability,FreqThresh(p=80),-0.012208,0.004525,0.111111,0.008696,221
MERS,stability_structural,Wavelet(t=1.0),-0.02965,0.0,0.0,0.0,152
MERS,stability_structural,AdaptiveKnee,-0.022104,0.0,0.0,0.0,89
MERS,stability_structural,FreqThresh(p=80),-0.037445,0.0,0.0,0.0,227
HCV,stability,Wavelet(t=1.0),-0.188657,0.015625,0.018519,0.016949,64
HCV,stability,AdaptiveKnee,-0.082422,0.146758,0.796296,0.247839,293
HCV,stability,FreqThresh(p=80),-0.162281,0.019231,0.018519,0.018868,52
HCV,stability_structural,Wavelet(t=1.0),-0.170327,0.030769,0.037037,0.033613,65
HCV,stability_structural,AdaptiveKnee,-0.096633,0.14433,0.777778,0.243478,291
HCV,stability_structural,FreqThresh(p=80),-0.164546,0.018868,0.018519,0.018692,53
Zika,stability,Wavelet(t=1.0),-0.090878,0.0,0.0,0.0,52
Zika,stability,AdaptiveKnee,-0.055407,0.055,0.814815,0.103044,400
Zika,stability,FreqThresh(p=80),-0.055546,0.033333,0.111111,0.051282,90
Zika,stability_structural,Wavelet(t=1.0),-0.027046,0.046512,0.148148,0.070796,86
Zika,stability_structural,AdaptiveKnee,-0.055407,0.055,0.814815,0.103044,400
Zika,stability_structural,FreqThresh(p=80),-0.048814,0.03125,0.074074,0.043956,64
Rabies,stability,Wavelet(t=1.0),0.030023,0.097561,0.205128,0.132231,82
Rabies,stability,AdaptiveKnee,0.027726,0.094737,0.230769,0.134328,95
Rabies,stability,FreqThresh(p=80),0.030429,0.101695,0.153846,0.122449,59
Rabies,stability_structural,Wavelet(t=1.0),0.084641,0.133333,0.25641,0.175439,75
Rabies,stability_structural,AdaptiveKnee,0.067471,0.126984,0.205128,0.156863,63
Rabies,stability_structural,FreqThresh(p=80),0.115876,0.189189,0.179487,0.184211,37
EV-A71,stability,Wavelet(t=1.0),0.122363,0.18,0.333333,0.233766,50
EV-A71,stability,AdaptiveKnee,0.000988,0.103627,0.740741,0.181818,193
EV-A71,stability,FreqThresh(p=80),0.13906,0.230769,0.222222,0.226415,26
EV-A71,stability_structural,Wavelet(t=1.0),0.053615,0.133333,0.296296,0.183908,60
EV-A71,stability_structural,AdaptiveKnee,0.027547,0.130435,0.111111,0.12,23
EV-A71,stability_structural,FreqThresh(p=80),0.078287,0.2,0.111111,0.142857,15
SARS-CoV-2,freq_with_indel,Wavelet(t=1.0),-0.008653,0.016,0.08,0.026667,125
SARS-CoV-2,freq_with_indel,AdaptiveKnee,0.081624,0.2,0.04,0.066667,5
SARS-CoV-2,freq_with_indel,FreqThresh(p=80),0.04478,0.083333,0.04,0.054054,12
SARS-CoV-2,entropy_with_indel,Wavelet(t=1.0),-0.005834,0.017094,0.08,0.028169,117
SARS-CoV-2,entropy_with_indel,AdaptiveKnee,0.041935,0.076923,0.04,0.052632,13
SARS-CoV-2,entropy_with_indel,FreqThresh(p=80),0.04478,0.083333,0.04,0.054054,12
H3N2,freq_with_indel,Wavelet(t=1.0),0.013362,0.052083,0.2,0.082645,96
H3N2,freq_with_indel,AdaptiveKnee,0.112388,0.12,0.24,0.16,50
H3N2,freq_with_indel,FreqThresh(p=80),0.021534,0.055046,0.24,0.089552,109
H3N2,entropy_with_indel,Wavelet(t=1.0),-0.095958,0.0,0.0,0.0,87
H3N2,entropy_with_indel,AdaptiveKnee,0.105405,0.113208,0.24,0.153846,53
H3N2,entropy_with_indel,FreqThresh(p=80),0.021534,0.055046,0.24,0.089552,109
Norovirus,freq_with_indel,Wavelet(t=1.0),0.17239,0.093023,0.533333,0.158416,86
Norovirus,freq_with_indel,AdaptiveKnee,0.254188,0.142857,0.6,0.230769,63
Norovirus,freq_with_indel,FreqThresh(p=80),0.168575,0.083333,0.6,0.146341,108
Norovirus,entropy_with_indel,Wavelet(t=1.0),0.177098,0.088235,0.6,0.153846,102
Norovirus,entropy_with_indel,AdaptiveKnee,0.262655,0.15,0.6,0.24,60
Norovirus,entropy_with_indel,FreqThresh(p=80),0.169956,0.084112,0.6,0.147541,107
HIV-1,freq_with_indel,Wavelet(t=1.0),0.087047,0.09009,0.384615,0.145985,111
HIV-1,freq_with_indel,AdaptiveKnee,0.074423,0.066246,0.807692,0.122449,317
HIV-1,freq_with_indel,FreqThresh(p=80),0.059998,0.080808,0.307692,0.128,99
HIV-1,entropy_with_indel,Wavelet(t=1.0),0.089985,0.091743,0.384615,0.148148,109
HIV-1,entropy_with_indel,AdaptiveKnee,0.117351,0.071642,0.923077,0.132964,335
HIV-1,entropy_with_indel,FreqThresh(p=80),0.041419,0.072917,0.269231,0.114754,96
Dengue,freq_with_indel,Wavelet(t=1.0),-0.021205,0.038462,0.125,0.058824,78
Dengue,freq_with_indel,AdaptiveKnee,0.057327,0.066265,0.458333,0.115789,166
Dengue,freq_with_indel,FreqThresh(p=80),0.052007,0.071429,0.291667,0.114754,98
Dengue,entropy_with_indel,Wavelet(t=1.0),-0.083154,0.0,0.0,0.0,58
Dengue,entropy_with_indel,AdaptiveKnee,0.036106,0.062016,0.333333,0.104575,129
Dengue,entropy_with_indel,FreqThresh(p=80),0.075647,0.081633,0.333333,0.131148,98
RSV,freq_with_indel,Wavelet(t=1.0),-0.083631,0.0,0.0,0.0,86
RSV,freq_with_indel,AdaptiveKnee,-0.044252,0.014493,0.05,0.022472,69
RSV,freq_with_indel,FreqThresh(p=80),-0.072846,0.009091,0.05,0.015385,110
RSV,entropy_with_indel,Wavelet(t=1.0),-0.074183,0.0,0.0,0.0,70
RSV,entropy_with_indel,AdaptiveKnee,-0.053321,0.012346,0.05,0.019802,81
RSV,entropy_with_indel,FreqThresh(p=80),-0.072846,0.009091,0.05,0.015385,110
Influenza_B,freq_with_indel,Wavelet(t=1.0),0.098173,0.064815,0.411765,0.112,108
Influenza_B,freq_with_indel,AdaptiveKnee,-0.093019,0.016077,0.294118,0.030488,311
Influenza_B,freq_with_indel,FreqThresh(p=80),-0.062449,0.008929,0.058824,0.015504,112
Influenza_B,entropy_with_indel,Wavelet(t=1.0),0.014071,0.036145,0.176471,0.06,83
Influenza_B,entropy_with_indel,AdaptiveKnee,-0.081807,0.017007,0.294118,0.032154,294
Influenza_B,entropy_with_indel,FreqThresh(p=80),-0.010408,0.026786,0.176471,0.046512,112
MERS,freq_with_indel,Wavelet(t=1.0),-0.025515,0.0,0.0,0.0,116
MERS,freq_with_indel,AdaptiveKnee,-0.031157,0.005887,0.777778,0.011686,1189
MERS,freq_with_indel,FreqThresh(p=80),0.001443,0.006993,0.222222,0.013559,286
MERS,entropy_with_indel,Wavelet(t=1.0),-0.025394,0.0,0.0,0.0,115
MERS,entropy_with_indel,AdaptiveKnee,-0.018808,0.006385,0.888889,0.012678,1253
MERS,entropy_with_indel,FreqThresh(p=80),-0.018342,0.003759,0.111111,0.007273,266
HCV,freq_with_indel,Wavelet(t=1.0),0.17637,0.28,0.388889,0.325581,75
HCV,freq_with_indel,AdaptiveKnee,0.025502,0.161392,0.944444,0.275676,316
HCV,freq_with_indel,FreqThresh(p=80),0.164958,0.279412,0.351852,0.311475,68
HCV,entropy_with_indel,Wavelet(t=1.0),0.130167,0.246753,0.351852,0.290076,77
HCV,entropy_with_indel,AdaptiveKnee,-0.105995,0.142361,0.759259,0.239766,288
HCV,entropy_with_indel,FreqThresh(p=80),0.044257,0.191176,0.240741,0.213115,68
Zika,freq_with_indel,Wavelet(t=1.0),-0.128617,0.0,0.0,0.0,93
Zika,freq_with_indel,AdaptiveKnee,-0.004513,0.059432,0.851852,0.111111,387
Zika,freq_with_indel,FreqThresh(p=80),0.065333,0.086207,0.37037,0.13986,116
Zika,entropy_with_indel,Wavelet(t=1.0),-0.129488,0.0,0.0,0.0,94
Zika,entropy_with_indel,AdaptiveKnee,0.009251,0.060533,0.925926,0.113636,413
Zika,entropy_with_indel,FreqThresh(p=80),0.059434,0.087912,0.296296,0.135593,91
Rabies,freq_with_indel,Wavelet(t=1.0),-0.099129,0.0,0.0,0.0,50
Rabies,freq_with_indel,AdaptiveKnee,-0.093922,0.029703,0.076923,0.042857,101
