pathogen,score,detector,family,n_sequences,n_unique,seq_length,gt_adaptive_size,gt_constrained_size,gt_dms_size,mcc_adaptive,f1_adaptive,precision_adaptive,recall_adaptive,enrichment_adaptive,constrained_fpr,dms_f1,composite_score,n_detected
Norovirus,P*minority_E,Bayes(prior=0.1),Bayes,1500,791,536,15,229,0,0.1721,0.1138,0.0606,0.9333,2.1657,0.0131,,0.1099,231
Norovirus,P*minority_E,Bayes(prior=0.15),Bayes,1500,791,536,15,229,0,0.1721,0.1138,0.0606,0.9333,2.1657,0.0131,,0.1099,231
Norovirus,P*minority_E,Ensemble(v>=2),Ensemble,1500,791,536,15,229,0,0.3957,0.4118,0.3684,0.4667,13.1649,0.0,,0.4118,19
Norovirus,P*minority_E,Ensemble(v>=3),Ensemble,1500,791,536,15,229,0,0.3957,0.4118,0.3684,0.4667,13.1649,0.0,,0.4118,19
Norovirus,P*minority_E,AdaptWin(s=90),AdaptWin,1500,791,536,15,229,0,0.3631,0.3117,0.1935,0.8,6.9161,0.0,,0.3117,62
Norovirus,P*minority_E,AdaptWin(s=85),AdaptWin,1500,791,536,15,229,0,0.2118,0.1579,0.0876,0.8,3.1299,0.0,,0.1579,137
Norovirus,P*minority_E,FreqThresh(p=80),FreqThresh,1500,791,536,15,229,0,0.2434,0.1964,0.1134,0.7333,4.0522,0.0,,0.1964,97
Norovirus,P*minority_E,FreqThresh(p=85),FreqThresh,1500,791,536,15,229,0,0.3277,0.2857,0.1774,0.7333,6.3398,0.0,,0.2857,62
Norovirus,P*minority_E,FreqThresh(p=90),FreqThresh,1500,791,536,15,229,0,0.413,0.4,0.2857,0.6667,10.2095,0.0,,0.4,35
Norovirus,P*minority_E,FreqThresh(p=95),FreqThresh,1500,791,536,15,229,0,0.3957,0.4118,0.3684,0.4667,13.1649,0.0,,0.4118,19
Norovirus,P*minority_E,"SWAN(w=10,k=1.0)",SWAN,1500,791,536,15,229,0,0.2187,0.1935,0.1154,0.6,4.1231,0.0,,0.1935,78
Norovirus,P*minority_E,"SWAN(w=10,k=1.5)",SWAN,1500,791,536,15,229,0,0.2408,0.2286,0.1455,0.5333,5.1976,0.0,,0.2286,55
Norovirus,P*minority_E,"SWAN(w=10,k=2.0)",SWAN,1500,791,536,15,229,0,0.1141,0.1379,0.1429,0.1333,5.1048,0.0,,0.1379,14
Norovirus,P*minority_E,"SWAN(w=20,k=1.0)",SWAN,1500,791,536,15,229,0,0.2264,0.1905,0.1111,0.6667,3.9704,0.0,,0.1905,90
Norovirus,P*minority_E,"SWAN(w=50,k=1.0)",SWAN,1500,791,536,15,229,0,0.2063,0.2029,0.1296,0.4667,4.6321,0.0,,0.2029,54
Norovirus,P*minority_E,MutClust-Orig(g=10),MutClust-Orig,1500,791,536,15,229,0,0.1826,0.1275,0.0688,0.8667,2.4578,0.0873,,0.1013,189
Norovirus,P*E,Wavelet(t=1.0),Wavelet,1500,791,536,15,229,0,0.186,0.1371,0.075,0.8,2.68,0.1048,,0.1057,160
Norovirus,P*E,Wavelet(t=1.5),Wavelet,1500,791,536,15,229,0,0.1924,0.1778,0.1067,0.5333,3.8116,0.0262,,0.1699,75
Norovirus,P*E,Wavelet(t=2.0),Wavelet,1500,791,536,15,229,0,0.1377,0.1515,0.098,0.3333,3.5033,0.0,,0.1515,51
Norovirus,P*E,KDE(p=75),KDE,1500,791,536,15,229,0,0.2416,0.1745,0.097,0.8667,3.4667,0.0,,0.1745,134
Norovirus,P*E,KDE(p=80),KDE,1500,791,536,15,229,0,0.2532,0.1951,0.1111,0.8,3.9704,0.0,,0.1951,108
Norovirus,P*E,KDE(p=85),KDE,1500,791,536,15,229,0,0.2127,0.1875,0.1111,0.6,3.9704,0.0,,0.1875,81
Norovirus,P*E,SlidingTest(p=0.01),SlidingTest,1500,791,536,15,229,0,0.225,0.2,0.12,0.6,4.288,0.0,,0.2,75
Norovirus,P*E,SlidingTest(p=0.05),SlidingTest,1500,791,536,15,229,0,0.2627,0.24,0.15,0.6,5.36,0.0,,0.24,60
Norovirus,P*E,GradPeak(p=0.2),GradPeak,1500,791,536,15,229,0,0.1974,0.1383,0.0751,0.8667,2.6852,0.2664,,0.0584,173
Norovirus,P*E,GradPeak(p=0.5),GradPeak,1500,791,536,15,229,0,0.2499,0.192,0.1091,0.8,3.8982,0.1659,,0.1422,110
Norovirus,P*E,LocalContrast(z=1.0),LocalContrast,1500,791,536,15,229,0,0.1323,0.1538,0.1081,0.2667,3.8631,0.0524,,0.1381,37
Norovirus,P*E,LocalContrast(z=1.5),LocalContrast,1500,791,536,15,229,0,0.1482,0.1702,0.125,0.2667,4.4667,0.0393,,0.1584,32
Norovirus,P*E,LocalContrast(z=2.0),LocalContrast,1500,791,536,15,229,0,0.0338,0.0625,0.0588,0.0667,2.102,0.0262,,0.0546,17
Norovirus,P*E,"CUSUM(d=0.3,h=3.0)",CUSUM,1500,791,536,15,229,0,0.1957,0.1224,0.0652,1.0,2.3304,0.0699,,0.1015,230
Norovirus,P*E,"CUSUM(d=0.5,h=4.0)",CUSUM,1500,791,536,15,229,0,0.1286,0.1273,0.0737,0.4667,2.633,0.0,,0.1273,95
Norovirus,P*E,"CUSUM(d=0.5,h=5.0)",CUSUM,1500,791,536,15,229,0,0.115,0.1224,0.0723,0.4,2.5831,0.0,,0.1224,83
Norovirus,P*E,AdaptiveKnee,AdaptiveKnee,1500,791,536,15,229,0,0.3415,0.3014,0.1897,0.7333,6.777,0.0393,,0.2896,58
Norovirus,P*E,Spectral(z=1.5),Spectral,1500,791,536,15,229,0,0.2594,0.2727,0.2069,0.4,7.3931,0.0262,,0.2649,29
Norovirus,P*E,Spectral(z=2.0),Spectral,1500,791,536,15,229,0,0.2122,0.2353,0.2105,0.2667,7.5228,0.0131,,0.2314,19
Norovirus,P*E,Bayes(prior=0.1),Bayes,1500,791,536,15,229,0,0.1528,0.1022,0.0541,0.9333,1.9315,0.0742,,0.0799,259
Norovirus,P*E,Bayes(prior=0.15),Bayes,1500,791,536,15,229,0,0.1716,0.1071,0.0566,1.0,2.0226,0.0742,,0.0849,265
Norovirus,P*E,Ensemble(v>=2),Ensemble,1500,791,536,15,229,0,0.2367,0.2564,0.2083,0.3333,7.4444,0.0262,,0.2485,24
Norovirus,P*E,Ensemble(v>=3),Ensemble,1500,791,536,15,229,0,0.2367,0.2564,0.2083,0.3333,7.4444,0.0262,,0.2485,24
Norovirus,P*E,AdaptWin(s=90),AdaptWin,1500,791,536,15,229,0,0.3121,0.2683,0.1642,0.7333,5.8667,0.0524,,0.2526,67
Norovirus,P*E,AdaptWin(s=85),AdaptWin,1500,791,536,15,229,0,0.1922,0.142,0.0779,0.8,2.7844,0.0655,,0.1224,154
Norovirus,P*E,FreqThresh(p=80),FreqThresh,1500,791,536,15,229,0,0.2417,0.1947,0.1122,0.7333,4.0109,0.0393,,0.1829,98
Norovirus,P*E,FreqThresh(p=85),FreqThresh,1500,791,536,15,229,0,0.3244,0.2821,0.1746,0.7333,6.2392,0.0393,,0.2703,63
Norovirus,P*E,FreqThresh(p=90),FreqThresh,1500,791,536,15,229,0,0.3672,0.36,0.2571,0.6,9.1886,0.0262,,0.3521,35
Norovirus,P*E,FreqThresh(p=95),FreqThresh,1500,791,536,15,229,0,0.1032,0.129,0.125,0.1333,4.4667,0.0175,,0.1238,16
Norovirus,P*E,"SWAN(w=10,k=1.0)",SWAN,1500,791,536,15,229,0,0.2388,0.2143,0.1304,0.6,4.6609,0.0,,0.2143,69
Norovirus,P*E,"SWAN(w=10,k=1.5)",SWAN,1500,791,536,15,229,0,0.2047,0.2222,0.1667,0.3333,5.9556,0.0,,0.2222,30
Norovirus,P*E,"SWAN(w=10,k=2.0)",SWAN,1500,791,536,15,229,0,0.135,0.1538,0.1818,0.1333,6.497,0.0,,0.1538,11
Norovirus,P*E,"SWAN(w=20,k=1.0)",SWAN,1500,791,536,15,229,0,0.1161,0.1429,0.1111,0.2,3.9704,0.0,,0.1429,27
Norovirus,P*E,MutClust-Orig(g=10),MutClust-Orig,1500,791,536,15,229,0,0.1464,0.104,0.0553,0.8667,1.9767,0.3493,,-0.0008,235
Norovirus,H-score,Wavelet(t=1.0),Wavelet,1500,791,536,15,229,0,0.1,0.0913,0.049,0.6667,1.7516,0.2533,,0.0153,204
Norovirus,H-score,Wavelet(t=1.5),Wavelet,1500,791,536,15,229,0,0.1816,0.1579,0.0909,0.6,3.2485,0.0742,,0.1356,99
Norovirus,H-score,Wavelet(t=2.0),Wavelet,1500,791,536,15,229,0,0.1635,0.186,0.1429,0.2667,5.1048,0.0,,0.186,28
Norovirus,H-score,KDE(p=75),KDE,1500,791,536,15,229,0,-0.0196,0.0403,0.0224,0.2,0.8,0.0,,0.0403,134
Norovirus,H-score,KDE(p=80),KDE,1500,791,536,15,229,0,-0.0006,0.0488,0.0278,0.2,0.9926,0.0,,0.0488,108
Norovirus,H-score,KDE(p=85),KDE,1500,791,536,15,229,0,0.0232,0.0625,0.037,0.2,1.3235,0.0,,0.0625,81
Norovirus,H-score,SlidingTest(p=0.01),SlidingTest,1500,791,536,15,229,0,0.0788,0.0865,0.0471,0.5333,1.6816,0.0,,0.0865,170
Norovirus,H-score,SlidingTest(p=0.05),SlidingTest,1500,791,536,15,229,0,0.1303,0.1048,0.0564,0.7333,2.0157,0.0,,0.1048,195
Norovirus,H-score,GradPeak(p=0.2),GradPeak,1500,791,536,15,229,0,0.185,0.1223,0.0654,0.9333,2.3377,0.2795,,0.0384,214
Norovirus,H-score,GradPeak(p=0.5),GradPeak,1500,791,536,15,229,0,0.2679,0.1985,0.1121,0.8667,4.0046,0.1659,,0.1487,116
Norovirus,H-score,LocalContrast(z=1.0),LocalContrast,1500,791,536,15,229,0,0.2462,0.2222,0.1364,0.6,4.8727,0.0699,,0.2013,66
Norovirus,H-score,LocalContrast(z=1.5),LocalContrast,1500,791,536,15,229,0,0.1482,0.1702,0.125,0.2667,4.4667,0.0524,,0.1545,32
Norovirus,H-score,LocalContrast(z=2.0),LocalContrast,1500,791,536,15,229,0,0.024,0.0556,0.0476,0.0667,1.7016,0.0524,,0.0398,21
Norovirus,H-score,"CUSUM(d=0.3,h=3.0)",CUSUM,1500,791,536,15,229,0,0.0257,0.0557,0.0286,1.0,1.0229,0.952,,-0.2299,524
Norovirus,H-score,"CUSUM(d=0.5,h=4.0)",CUSUM,1500,791,536,15,229,0,-0.1354,0.0319,0.0165,0.4667,0.5899,0.8384,,-0.2196,424
Norovirus,H-score,"CUSUM(d=0.5,h=5.0)",CUSUM,1500,791,536,15,229,0,-0.126,0.0325,0.0168,0.4667,0.6013,0.8253,,-0.2151,416
Norovirus,H-score,AdaptiveKnee,AdaptiveKnee,1500,791,536,15,229,0,0.1368,0.0985,0.0522,0.8667,1.8656,0.0742,,0.0762,249
Norovirus,H-score,ScoreDBSCAN(ep=8),ScoreDBSCAN,1500,791,536,15,229,0,-0.0234,0.0,0.0,0.0,0.0,0.0393,,-0.0118,10
Norovirus,H-score,ScoreDBSCAN(ep=15),ScoreDBSCAN,1500,791,536,15,229,0,-0.0181,0.0,0.0,0.0,0.0,0.0262,,-0.0079,6
Norovirus,H-score,Spectral(z=1.5),Spectral,1500,791,536,15,229,0,0.2343,0.2449,0.1765,0.4,6.3059,0.0393,,0.2331,34
Norovirus,H-score,Spectral(z=2.0),Spectral,1500,791,536,15,229,0,0.3247,0.3429,0.3,0.4,10.72,0.0131,,0.3389,20
Norovirus,H-score,Bayes(prior=0.1),Bayes,1500,791,536,15,229,0,0.1684,0.1053,0.0556,1.0,1.9852,0.0742,,0.083,270
Norovirus,H-score,Bayes(prior=0.15),Bayes,1500,791,536,15,229,0,0.1616,0.1014,0.0534,1.0,1.9075,0.0742,,0.0791,281
Norovirus,H-score,Ensemble(v>=2),Ensemble,1500,791,536,15,229,0,0.3672,0.36,0.2571,0.6,9.1886,0.0262,,0.3521,35
Norovirus,H-score,Ensemble(v>=3),Ensemble,1500,791,536,15,229,0,0.3869,0.383,0.2812,0.6,10.05,0.0262,,0.3751,32
Norovirus,H-score,AdaptWin(s=90),AdaptWin,1500,791,536,15,229,0,0.2143,0.16,0.0889,0.8,3.1763,0.0524,,0.1443,135
Norovirus,H-score,AdaptWin(s=85),AdaptWin,1500,791,536,15,229,0,0.1514,0.1127,0.0606,0.8,2.1657,0.0655,,0.093,198
Norovirus,H-score,FreqThresh(p=80),FreqThresh,1500,791,536,15,229,0,0.2417,0.1947,0.1122,0.7333,4.0109,0.0393,,0.1829,98
Norovirus,H-score,FreqThresh(p=85),FreqThresh,1500,791,536,15,229,0,0.3244,0.2821,0.1746,0.7333,6.2392,0.0393,,0.2703,63
Norovirus,H-score,FreqThresh(p=90),FreqThresh,1500,791,536,15,229,0,0.3672,0.36,0.2571,0.6,9.1886,0.0262,,0.3521,35
Norovirus,H-score,FreqThresh(p=95),FreqThresh,1500,791,536,15,229,0,0.1032,0.129,0.125,0.1333,4.4667,0.0175,,0.1238,16
Norovirus,H-score,"SWAN(w=10,k=1.0)",SWAN,1500,791,536,15,229,0,0.1965,0.1818,0.1096,0.5333,3.916,0.0,,0.1818,73
Norovirus,H-score,"SWAN(w=10,k=1.5)",SWAN,1500,791,536,15,229,0,0.265,0.2857,0.25,0.3333,8.9333,0.0,,0.2857,20
Norovirus,H-score,"SWAN(w=20,k=1.0)",SWAN,1500,791,536,15,229,0,0.081,0.1091,0.075,0.2,2.68,0.0,,0.1091,40
Norovirus,H-score,MutClust-Orig(g=10),MutClust-Orig,1500,791,536,15,229,0,0.0,0.0544,0.028,1.0,1.0,1.0,,-0.2456,536
Norovirus,E_only,Wavelet(t=1.0),Wavelet,1500,791,536,15,229,0,0.1481,0.1164,0.0632,0.7333,2.259,0.1572,,0.0692,174
Norovirus,E_only,Wavelet(t=1.5),Wavelet,1500,791,536,15,229,0,0.1416,0.1386,0.0814,0.4667,2.9085,0.0349,,0.1281,86
Norovirus,E_only,Wavelet(t=2.0),Wavelet,1500,791,536,15,229,0,0.161,0.1754,0.119,0.3333,4.254,0.0,,0.1754,42
Norovirus,E_only,KDE(p=75),KDE,1500,791,536,15,229,0,0.0849,0.094,0.0522,0.4667,1.8667,0.0,,0.094,134
Norovirus,E_only,KDE(p=80),KDE,1500,791,536,15,229,0,0.1122,0.1138,0.0648,0.4667,2.316,0.0,,0.1138,108
Norovirus,E_only,KDE(p=85),KDE,1500,791,536,15,229,0,0.1179,0.125,0.0741,0.4,2.6469,0.0,,0.125,81
Norovirus,E_only,SlidingTest(p=0.01),SlidingTest,1500,791,536,15,229,0,0.0949,0.0923,0.05,0.6,1.7867,0.0,,0.0923,180
Norovirus,E_only,SlidingTest(p=0.05),SlidingTest,1500,791,536,15,229,0,0.1303,0.1048,0.0564,0.7333,2.0157,0.0,,0.1048,195
Norovirus,E_only,GradPeak(p=0.2),GradPeak,1500,791,536,15,229,0,0.2156,0.1443,0.0782,0.9333,2.7948,0.2533,,0.0683,179
Norovirus,E_only,GradPeak(p=0.5),GradPeak,1500,791,536,15,229,0,0.2417,0.1947,0.1122,0.7333,4.0109,0.1179,,0.1593,98
Norovirus,E_only,LocalContrast(z=1.0),LocalContrast,1500,791,536,15,229,0,0.2118,0.1975,0.1212,0.5333,4.3313,0.0699,,0.1766,66
Norovirus,E_only,LocalContrast(z=1.5),LocalContrast,1500,791,536,15,229,0,0.2617,0.2642,0.1842,0.4667,6.5825,0.0699,,0.2432,38
Norovirus,E_only,LocalContrast(z=2.0),LocalContrast,1500,791,536,15,229,0,0.1274,0.1538,0.125,0.2,4.4667,0.0524,,0.1381,24
Norovirus,E_only,"CUSUM(d=0.3,h=3.0)",CUSUM,1500,791,536,15,229,0,0.0268,0.0558,0.0287,1.0,1.0249,0.9476,,-0.2285,523
Norovirus,E_only,"CUSUM(d=0.5,h=4.0)",CUSUM,1500,791,536,15,229,0,-0.104,0.0391,0.0202,0.6,0.7227,0.8297,,-0.2098,445
Norovirus,E_only,"CUSUM(d=0.5,h=5.0)",CUSUM,1500,791,536,15,229,0,-0.1539,0.0309,0.016,0.4667,0.5711,0.8166,,-0.2141,438
Norovirus,E_only,AdaptiveKnee,AdaptiveKnee,1500,791,536,15,229,0,0.3415,0.3014,0.1897,0.7333,6.777,0.0393,,0.2896,58
Norovirus,E_only,Spectral(z=1.5),Spectral,1500,791,536,15,229,0,0.2594,0.2727,0.2069,0.4,7.3931,0.0262,,0.2649,29
Norovirus,E_only,Spectral(z=2.0),Spectral,1500,791,536,15,229,0,0.3156,0.3333,0.2857,0.4,10.2095,0.0131,,0.3294,21
Norovirus,E_only,Bayes(prior=0.1),Bayes,1500,791,536,15,229,0,0.1528,0.1022,0.0541,0.9333,1.9315,0.0742,,0.0799,259
Norovirus,E_only,Bayes(prior=0.15),Bayes,1500,791,536,15,229,0,0.1635,0.1024,0.054,1.0,1.9281,0.0742,,0.0801,278
Norovirus,E_only,Ensemble(v>=2),Ensemble,1500,791,536,15,229,0,0.3554,0.3462,0.2432,0.6,8.6919,0.0262,,0.3383,37
Norovirus,E_only,Ensemble(v>=3),Ensemble,1500,791,536,15,229,0,0.3869,0.383,0.2812,0.6,10.05,0.0262,,0.3751,32
Norovirus,E_only,AdaptWin(s=90),AdaptWin,1500,791,536,15,229,0,0.222,0.1667,0.093,0.8,3.324,0.0262,,0.1588,129
Norovirus,E_only,AdaptWin(s=85),AdaptWin,1500,791,536,15,229,0,0.1522,0.1132,0.0609,0.8,2.1766,0.0655,,0.0936,197
Norovirus,E_only,FreqThresh(p=80),FreqThresh,1500,791,536,15,229,0,0.2298,0.1833,0.1048,0.7333,3.7435,0.0524,,0.1676,105
Norovirus,E_only,FreqThresh(p=85),FreqThresh,1500,791,536,15,229,0,0.3415,0.3014,0.1897,0.7333,6.777,0.0393,,0.2896,58
Norovirus,E_only,FreqThresh(p=90),FreqThresh,1500,791,536,15,229,0,0.3554,0.3462,0.2432,0.6,8.6919,0.0262,,0.3383,37
Norovirus,E_only,FreqThresh(p=95),FreqThresh,1500,791,536,15,229,0,0.3739,0.3889,0.3333,0.4667,11.9111,0.0,,0.3889,21
Norovirus,E_only,"SWAN(w=10,k=1.0)",SWAN,1500,791,536,15,229,0,0.2272,0.2022,0.1216,0.6,4.3459,0.0,,0.2022,74
Norovirus,E_only,"SWAN(w=10,k=1.5)",SWAN,1500,791,536,15,229,0,0.3108,0.3077,0.2162,0.5333,7.7261,0.0,,0.3077,37
Norovirus,E_only,"SWAN(w=20,k=1.0)",SWAN,1500,791,536,15,229,0,0.1411,0.1463,0.0896,0.4,3.2,0.0,,0.1463,67
Norovirus,E_only,MutClust-Orig(g=10),MutClust-Orig,1500,791,536,15,229,0,0.0777,0.0655,0.0339,1.0,1.2099,0.5983,,-0.114,443
Norovirus,P*E^2,Wavelet(t=1.0),Wavelet,1500,791,536,15,229,0,0.2143,0.16,0.0889,0.8,3.1763,0.0568,,0.143,135
Norovirus,P*E^2,Wavelet(t=1.5),Wavelet,1500,791,536,15,229,0,0.1598,0.1556,0.0933,0.4667,3.3351,0.0131,,0.1516,75
Norovirus,P*E^2,Wavelet(t=2.0),Wavelet,1500,791,536,15,229,0,0.1401,0.1538,0.1,0.3333,3.5733,0.0,,0.1538,50
Norovirus,P*E^2,KDE(p=75),KDE,1500,791,536,15,229,0,0.2678,0.1879,0.1045,0.9333,3.7333,0.0,,0.1879,134
Norovirus,P*E^2,KDE(p=80),KDE,1500,791,536,15,229,0,0.2532,0.1951,0.1111,0.8,3.9704,0.0,,0.1951,108
Norovirus,P*E^2,KDE(p=85),KDE,1500,791,536,15,229,0,0.2442,0.2083,0.1235,0.6667,4.4115,0.0,,0.2083,81
Norovirus,P*E^2,SlidingTest(p=0.01),SlidingTest,1500,791,536,15,229,0,0.2956,0.2769,0.18,0.6,6.432,0.0,,0.2769,50
Norovirus,P*E^2,SlidingTest(p=0.05),SlidingTest,1500,791,536,15,229,0,0.2531,0.2545,0.175,0.4667,6.2533,0.0,,0.2545,40
Norovirus,P*E^2,GradPeak(p=0.2),GradPeak,1500,791,536,15,229,0,0.2081,0.1548,0.0857,0.8,3.0629,0.2009,,0.0946,140
Norovirus,P*E^2,GradPeak(p=0.5),GradPeak,1500,791,536,15,229,0,0.3099,0.2526,0.15,0.8,5.36,0.0742,,0.2304,80
Norovirus,P*E^2,LocalContrast(z=1.0),LocalContrast,1500,791,536,15,229,0,0.1323,0.1538,0.1081,0.2667,3.8631,0.0524,,0.1381,37
Norovirus,P*E^2,LocalContrast(z=1.5),LocalContrast,1500,791,536,15,229,0,0.1274,0.1538,0.125,0.2,4.4667,0.0262,,0.146,24
Norovirus,P*E^2,LocalContrast(z=2.0),LocalContrast,1500,791,536,15,229,0,0.0338,0.0625,0.0588,0.0667,2.102,0.0262,,0.0546,17
Norovirus,P*E^2,"CUSUM(d=0.3,h=3.0)",CUSUM,1500,791,536,15,229,0,0.2299,0.1471,0.0794,1.0,2.836,0.0131,,0.1431,189
Norovirus,P*E^2,"CUSUM(d=0.5,h=4.0)",CUSUM,1500,791,536,15,229,0,0.1054,0.1143,0.0667,0.4,2.3822,0.0,,0.1143,90
Norovirus,P*E^2,"CUSUM(d=0.5,h=5.0)",CUSUM,1500,791,536,15,229,0,0.1179,0.125,0.0741,0.4,2.6469,0.0,,0.125,81
Norovirus,P*E^2,AdaptiveKnee,AdaptiveKnee,1500,791,536,15,229,0,0.3869,0.383,0.2812,0.6,10.05,0.0262,,0.3751,32
Norovirus,P*E^2,Spectral(z=1.5),Spectral,1500,791,536,15,229,0,0.177,0.2,0.16,0.2667,5.7173,0.0262,,0.1921,25
Norovirus,P*E^2,Spectral(z=2.0),Spectral,1500,791,536,15,229,0,0.2053,0.2286,0.2,0.2667,7.1467,0.0131,,0.2246,20
Norovirus,P*E^2,Bayes(prior=0.1),Bayes,1500,791,536,15,229,0,0.1722,0.1075,0.0568,1.0,2.0303,0.0742,,0.0853,264
Norovirus,P*E^2,Bayes(prior=0.15),Bayes,1500,791,536,15,229,0,0.1716,0.1071,0.0566,1.0,2.0226,0.0742,,0.0849,265
Norovirus,P*E^2,Ensemble(v>=2),Ensemble,1500,791,536,15,229,0,0.2367,0.2564,0.2083,0.3333,7.4444,0.0262,,0.2485,24
Norovirus,P*E^2,Ensemble(v>=3),Ensemble,1500,791,536,15,229,0,0.1272,0.1481,0.1667,0.1333,5.9556,0.0,,0.1481,12
Norovirus,P*E^2,AdaptWin(s=90),AdaptWin,1500,791,536,15,229,0,0.3121,0.2683,0.1642,0.7333,5.8667,0.0524,,0.2526,67
Norovirus,P*E^2,AdaptWin(s=85),AdaptWin,1500,791,536,15,229,0,0.2034,0.1509,0.0833,0.8,2.9778,0.0655,,0.1313,144
Norovirus,P*E^2,FreqThresh(p=80),FreqThresh,1500,791,536,15,229,0,0.2331,0.1864,0.1068,0.7333,3.8162,0.0393,,0.1747,103
Norovirus,P*E^2,FreqThresh(p=85),FreqThresh,1500,791,536,15,229,0,0.3415,0.3014,0.1897,0.7333,6.777,0.0393,,0.2896,58
Norovirus,P*E^2,FreqThresh(p=90),FreqThresh,1500,791,536,15,229,0,0.3672,0.36,0.2571,0.6,9.1886,0.0262,,0.3521,35
Norovirus,P*E^2,FreqThresh(p=95),FreqThresh,1500,791,536,15,229,0,0.2367,0.2564,0.2083,0.3333,7.4444,0.0262,,0.2485,24
Norovirus,P*E^2,"SWAN(w=10,k=1.0)",SWAN,1500,791,536,15,229,0,0.2095,0.1951,0.1194,0.5333,4.2667,0.0,,0.1951,67
Norovirus,P*E^2,"SWAN(w=10,k=1.5)",SWAN,1500,791,536,15,229,0,0.2047,0.2222,0.1667,0.3333,5.9556,0.0,,0.2222,30
Norovirus,P*E^2,"SWAN(w=10,k=2.0)",SWAN,1500,791,536,15,229,0,0.094,0.1212,0.1111,0.1333,3.9704,0.0,,0.1212,18
Norovirus,P*E^2,"SWAN(w=20,k=1.0)",SWAN,1500,791,536,15,229,0,0.0951,0.1224,0.0882,0.2,3.1529,0.0,,0.1224,34
Norovirus,P*E^2,MutClust-Orig(g=10),MutClust-Orig,1500,791,536,15,229,0,0.1408,0.0956,0.0504,0.9333,1.7995,0.3843,,-0.0197,278
Norovirus,rank(P*E),Wavelet(t=1.0),Wavelet,1500,791,536,15,229,0,0.0253,0.0613,0.0325,0.5333,1.1621,0.655,,-0.1352,246
Norovirus,rank(P*E),Wavelet(t=1.5),Wavelet,1500,791,536,15,229,0,-0.0023,0.0449,0.027,0.1333,0.9658,0.2227,,-0.0219,74
Norovirus,rank(P*E),Wavelet(t=2.0),Wavelet,1500,791,536,15,229,0,0.0789,0.1081,0.0909,0.1333,3.2485,0.0437,,0.095,22
Norovirus,rank(P*E),KDE(p=75),KDE,1500,791,536,15,229,0,-0.0196,0.0403,0.0224,0.2,0.8,0.0,,0.0403,134
Norovirus,rank(P*E),KDE(p=80),KDE,1500,791,536,15,229,0,-0.057,0.0163,0.0093,0.0667,0.3309,0.0,,0.0163,108
Norovirus,rank(P*E),KDE(p=85),KDE,1500,791,536,15,229,0,-0.0716,0.0,0.0,0.0,0.0,0.0,,0.0,81
Norovirus,rank(P*E),SlidingTest(p=0.01),SlidingTest,1500,791,536,15,229,0,0.1729,0.1143,0.0609,0.9333,2.1751,0.0,,0.1143,230
Norovirus,rank(P*E),SlidingTest(p=0.05),SlidingTest,1500,791,536,15,229,0,0.1815,0.1132,0.06,1.0,2.144,0.0,,0.1132,250
Norovirus,rank(P*E),GradPeak(p=0.2),GradPeak,1500,791,536,15,229,0,0.1765,0.1232,0.0663,0.8667,2.3701,0.4236,,-0.0039,196
Norovirus,rank(P*E),GradPeak(p=0.5),GradPeak,1500,791,536,15,229,0,0.1885,0.1739,0.1039,0.5333,3.7126,0.1354,,0.1333,77
Norovirus,rank(P*E),LocalContrast(z=1.0),LocalContrast,1500,791,536,15,229,0,0.1968,0.1538,0.0859,0.7333,3.0708,0.2271,,0.0857,128
Norovirus,rank(P*E),LocalContrast(z=1.5),LocalContrast,1500,791,536,15,229,0,0.1841,0.2,0.1429,0.3333,5.1048,0.0524,,0.1843,35
Norovirus,rank(P*E),LocalContrast(z=2.0),LocalContrast,1500,791,536,15,229,0,0.0312,0.0606,0.0556,0.0667,1.9852,0.0524,,0.0449,18
Norovirus,rank(P*E),"CUSUM(d=0.3,h=3.0)",CUSUM,1500,791,536,15,229,0,0.0127,0.0547,0.0281,1.0,1.0056,0.9913,,-0.2426,533
Norovirus,rank(P*E),"CUSUM(d=0.5,h=4.0)",CUSUM,1500,791,536,15,229,0,-0.1449,0.037,0.0191,0.6,0.6828,0.9083,,-0.2355,471
Norovirus,rank(P*E),"CUSUM(d=0.5,h=5.0)",CUSUM,1500,791,536,15,229,0,-0.1866,0.0296,0.0153,0.4667,0.5461,0.869,,-0.2311,458
Norovirus,rank(P*E),ScoreDBSCAN(ep=8),ScoreDBSCAN,1500,791,536,15,229,0,-0.0181,0.0,0.0,0.0,0.0,0.0262,,-0.0079,6
Norovirus,rank(P*E),Spectral(z=1.5),Spectral,1500,791,536,15,229,0,0.164,0.1786,0.122,0.3333,4.3577,0.1048,,0.1471,41
Norovirus,rank(P*E),Spectral(z=2.0),Spectral,1500,791,536,15,229,0,0.0801,0.0909,0.1429,0.0667,5.1048,0.0131,,0.087,7
Norovirus,rank(P*E),Bayes(prior=0.1),Bayes,1500,791,536,15,229,0,0.145,0.1032,0.0549,0.8667,1.9601,0.0742,,0.0809,237
Norovirus,rank(P*E),Bayes(prior=0.15),Bayes,1500,791,536,15,229,0,0.1561,0.1041,0.0551,0.9333,1.9696,0.0742,,0.0818,254
Norovirus,rank(P*E),Ensemble(v>=2),Ensemble,1500,791,536,15,229,0,0.3672,0.36,0.2571,0.6,9.1886,0.0262,,0.3521,35
